timestamp,latitude,longitude,height,velocity,direction,horizontal_accuracy,vertical_accuracy
0.00,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
0.51,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
1.51,52.38,4.85,-1.30,-1.00,-1.00,65.00,65.00
7.63,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
13.64,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
19.64,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
25.64,52.38,4.85,-1.07,-1.00,-1.00,65.00,65.00
31.64,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
37.64,52.38,4.85,-1.07,-1.00,-1.00,65.00,65.00
43.64,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
49.64,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
55.64,52.38,4.85,-1.07,-1.00,-1.00,65.00,65.00
61.64,52.38,4.85,-1.14,-1.00,-1.00,65.00,65.00
67.64,52.38,4.85,-1.05,-1.00,-1.00,65.00,65.00
73.64,52.38,4.85,-1.08,-1.00,-1.00,65.00,65.00
79.64,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
85.64,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
91.64,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
97.64,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
103.64,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
109.64,52.38,4.85,-1.36,-1.00,-1.00,65.00,65.00
115.64,52.38,4.85,-1.46,-1.00,-1.00,65.00,65.00
121.64,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
127.64,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
133.64,52.38,4.85,-0.96,-1.00,-1.00,65.00,65.00
139.64,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
145.64,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
151.64,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
157.64,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
163.64,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
169.64,52.38,4.85,-1.10,-1.00,-1.00,65.00,65.00
175.64,52.38,4.85,-1.36,-1.00,-1.00,65.00,65.00
181.64,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
187.85,52.38,4.85,-1.33,-1.00,-1.00,65.00,65.00
188.37,52.38,4.85,-1.32,-1.00,-1.00,65.00,65.00
194.86,52.38,4.85,-1.35,-1.00,-1.00,65.00,65.00
200.86,52.38,4.85,-1.13,-1.00,-1.00,65.00,65.00
206.87,52.38,4.85,-1.33,-1.00,-1.00,65.00,65.00
212.87,52.38,4.85,-1.14,-1.00,-1.00,65.00,65.00
218.86,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
224.85,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
230.86,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
236.87,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
242.87,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
248.87,52.38,4.85,-1.26,-1.00,-1.00,65.00,65.00
254.87,52.38,4.85,-1.38,-1.00,-1.00,65.00,65.00
260.86,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
266.86,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
272.86,52.38,4.85,-1.37,-1.00,-1.00,65.00,65.00
278.86,52.38,4.85,-1.39,-1.00,-1.00,65.00,65.00
284.86,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
290.86,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
296.87,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
302.87,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
308.87,52.38,4.85,-1.14,-1.00,-1.00,65.00,65.00
314.86,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
320.86,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
326.86,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
332.85,52.38,4.85,-1.09,-1.00,-1.00,65.00,65.00
338.87,52.38,4.85,-1.03,-1.00,-1.00,65.00,65.00
344.86,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
350.86,52.38,4.85,-1.10,-1.00,-1.00,65.00,65.00
356.87,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
362.94,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
363.45,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
369.08,52.38,4.85,-1.09,-1.00,-1.00,65.00,65.00
375.08,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
381.08,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
387.08,52.38,4.85,-1.32,-1.00,-1.00,65.00,65.00
393.08,52.38,4.85,-1.37,-1.00,-1.00,65.00,65.00
399.08,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
405.09,52.38,4.85,-1.32,-1.00,-1.00,65.00,65.00
411.08,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
417.08,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
423.08,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
429.09,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
435.08,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
441.08,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
447.08,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
453.08,52.38,4.85,-1.32,-1.00,-1.00,65.00,65.00
