attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,timestamps
-0.239838,-0.143024,-0.234732,-0.23512,0.142537,-0.961458,-0.25857800000000003,-0.003252,0.8548209999999999,-0.231783,0.375011,-1.045424,0.0
-0.258782,-0.155824,-0.218024,-0.252803,0.155194,-0.95499,-0.533287,-1.859706,1.01231,-0.480382,0.65755,-0.8430139999999999,20000000.0
-0.300774,-0.184696,-0.199183,-0.291221,0.183647,-0.938863,-1.45768,-1.7061419999999998,1.505584,-0.22297,-0.096291,0.467123,40000000.0
-0.305249,-0.226663,-0.17691500000000002,-0.292844,0.224727,-0.929376,-1.783759,-0.000283,1.6998099999999998,-0.221347,-0.137371,0.457636,60000000.0
-0.30249000000000004,-0.278514,-0.165603,-0.286418,0.274928,-0.917812,-2.558459,-0.157085,1.092122,-0.476628,0.126882,0.145336,80000000.0
-0.291001,-0.332425,-0.158004,-0.271203,0.326337,-0.905513,-2.410648,1.018073,1.189927,-0.126135,0.622684,0.26829000000000003,100000000.0
-0.266154,-0.383499,-0.149106,-0.243917,0.374168,-0.894708,-2.315678,0.8734620000000001,1.041224,-0.153421,0.574853,0.257486,120000000.0
-0.243295,-0.4344520000000001,-0.139201,-0.218522,0.420913,-0.8803860000000001,-2.384799,1.015018,1.132427,-0.188658,0.264985,0.267807,140000000.0
-0.216209,-0.488103,-0.125342,-0.189477,0.468951,-0.862661,-2.537303,1.148228,1.2519,-0.082221,0.195951,0.379613,160000000.0
-0.175959,-0.5451560000000001,-0.108763,-0.149678,0.518552,-0.841844,-2.704693,1.874308,1.240186,-0.138546,0.145785,0.383515,180000000.0
-0.125365,-0.6019800000000001,-0.09299,-0.103058,0.566275,-0.8177479999999999,-2.708362,2.243866,1.000406,-0.183426,0.117807,0.405348,200000000.0
-0.06469,-0.658092,-0.075477,-0.051145,0.611608,-0.789506,-2.7298,2.640448,0.9442,-0.094363,0.167048,0.336152,220000000.0
0.001685,-0.7136779999999999,-0.054842,0.001274,0.654619,-0.755958,-2.766642,2.645266,0.8371139999999999,-0.146782,0.124038,0.302604,240000000.0
0.069798,-0.768297,-0.03111,0.05015,0.694911,-0.717344,-2.739884,2.555064,0.72739,-0.045527,0.220097,0.243468,260000000.0
0.13588699999999998,-0.821567,-0.005355,0.092265,0.732214,-0.674797,-2.760639,2.263989,0.542816,0.014913,0.113963,0.301643,280000000.0
0.199609,-0.87577,0.02284,0.126984,0.768037,-0.627689,-2.855853,2.082655,0.418469,-0.002045,0.06475700000000001,0.244404,300000000.0
0.263654,-0.930873,0.053408,0.155619,0.802142,-0.576499,-2.946932,1.992326,0.176531,-0.02534,0.027509,0.23278,320000000.0
0.328312,-0.988851,0.083367,0.177232,0.8353950000000001,-0.520292,-3.071288,2.012167,-0.148035,-0.057039,0.056878,0.244047,340000000.0
0.392095,-1.048493,0.115607,0.190634,0.8666729999999999,-0.461018,-3.090225,1.604093,-0.379448,-0.086385,0.07661,0.216313,360000000.0
0.4440060000000001,-1.106113,0.14856,0.192503,0.893964,-0.404687,-2.811589,0.8481770000000001,-0.461991,-0.071867,0.109027,0.264169,380000000.0
0.487742,-1.15674,0.186221,0.188543,0.915496,-0.355412,-2.513351,0.345067,-0.379147,-0.004934,0.10553,0.31216900000000003,400000000.0
0.530762,-1.200933,0.230472,0.182982,0.932377,-0.311755,-2.227129,-0.009821,-0.323281,0.01491,0.041043,0.262621,420000000.0
0.5635640000000001,-1.237311,0.270122,0.17486400000000002,0.944907,-0.276717,-1.748822,-0.269953,-0.42002,0.029191,-0.019904,0.145552,440000000.0
0.5964119999999999,-1.27128,0.304203,0.165727,0.955479,-0.244117,-1.747118,0.271503,-0.4954770000000001,-0.202089,-0.198018,0.053947,460000000.0
0.667502,-1.30842,0.36132,0.16055899999999998,0.965776,-0.203705,-2.111797,1.099141,-0.425378,-0.23197,-0.183458,0.004349,480000000.0
